ID,Name,Business Description,Primary Objects,Component Groups,Complexity Score
V_CB153305,Account Profiling & Core Management,"Manages core Account master data attributes, record types, status transitions, name formatting/concatenations, and manual data-steward validation triggers.","Account, mck_Account_Relation__c","V51000000008005, V51000000006006, V51000000005003, V51000000005002, V51000000004097, V51000000004096, V51000000004080, V51000000004076, V51000000004075, V51000000004073, V51000000004128, V51000000003071, V51000000003059, V51000000003056, V51000000002316, V51000000002297, V51000000002211, V51000000002208, V51000000002188, V51000000002183, V51000000002182, V51000000002158, V51000000002126, V51000000002122, V51000000002120, V51000000002119, V51000000002118, V51000000002117, V51000000002097, V51000000002096, V51000000002095, V51000000002094, V51000000002090, V51000000002089, V51000000002088, V51000000002068, V51000000002065, V51000000002062, V51000000002061, V51000000002054, V51000000001331, V51000000001330, V51000000001312, V51000000001310, V51000000001298, V51000000001283, V51000000001281, V51000000001270, V51000000001265, V51000000001264, V51000000001263, V51000000001258, V51000000001179, V51000000001160, V51000000001140, V51000000001105, V51000000001096, V51000000001093, V51000000001069, V51000000001021, V51000000001009, V51000000001006, V51000000008004, V51000000007003, V51000000006015, V51000000006014, V51000000006010, V51000000004122, V51000000004058, V51000000004021, V51000000004008, V51000000003062, V51000000002030, V51000000002016, V51000000002011, V51000000002008, V51000000002007, V51000000002004, V51000000002002, V51000000002273, V51000000002170, V51000000004033, V51000000004067",1289
V_56658381,"User, Profile, & Permission Management","Manages system user data, automates permission set/application assignments, logs role transitions, and deactivates accounts dormant over 90 days.","User, Merck_User_Access_Request__c, Merck_User_Role_Territory_Alignment__c","V51000000007012, V51000000002269, V51000000002196, V51000000002195, V51000000002098, V51000000002021, V51000000001128, V51000000004064, V51000000003063, V51000000002319, V51000000002307, V51000000002306, V51000000002303, V51000000002233, V51000000002203, V51000000002202, V51000000002186, V51000000002093, V51000000002083, V51000000002076, V51000000002073, V51000000001339, V51000000001328, V51000000001325, V51000000001293, V51000000001275, V51000000001271, V51000000001172, V51000000001158, V51000000001148, V51000000001142, V51000000001102, V51000000001101, V51000000001071, V51000000001049, V51000000001023, V51000000001016, V51000000002155, V51000000002153, V51000000002150, V51000000002148, V51000000002131, V51000000002132, V51000000002127, V51000000002104, V51000000002035, V51000000002013, V51000000001135, V51000000001129, V51000000005001, V51000000001011, V51000000001012, V51000000001278, V51000000001136, V51000000002281, V51000000002149, V51000000003031, V51000000002078, V51000000002184, V51000000002112",1422
V_81DBF2FC,"GDPR, Compliance & Privacy","Enforces international compliance guidelines, scrubs clinical details from attachments in flagged regions, and logs periodic GDPR notice updates on Accounts.",mck_GDPR_Notification__c,"V51000000008014, V51000000006012, V51000000001157",5
V_F74BDD22,Task & Event Overrides / General UI,"Standardizes layout visualization parameters across calendar items, tasks, and follow-up activities.",Task_Assignment__c,"V51000000007020, V51000000001040, V51000000001041, V51000000002178, V51000000002179, V51000000004095, V51000000003073, V51000000003074, V51000000003042, V51000000003034, V51000000003033, V51000000004066, V51000000001017, V51000000001056",277
V_7B6687F5,Salesforce Community Standard Pages,"Hosts default portals supporting member features such as logging in, password changes, site registration, ideas posting, and answers access.",Site,"V51000000007019, V51000000001033, V51000000001034, V51000000001035, V51000000001036, V51000000001037, V51000000001038, V51000000001039, V51000000001120, V51000000001121, V51000000001122, V51000000001123, V51000000001124, V51000000001125, V51000000001126, V51000000002022, V51000000002023, V51000000002024, V51000000002025, V51000000002026, V51000000002027, V51000000002028, V51000000002102, V51000000002107, V51000000002108, V51000000002109, V51000000002130, V51000000002176, V51000000002177, V51000000002261, V51000000002262, V51000000002263, V51000000002264, V51000000002265, V51000000002266, V51000000002267, V51000000002268",61
V_E6BD641A,General Integration & Utilities,"Maintains data synchronization endpoints, manages transaction logs, and fires alerts to support administrators on system faults.","iConnect_Interface_Log__c, Approved_Document_vod__c","V51000000007016, V51000000002055, V51000000001062, V51000000001085, V51000000001086, V51000000001110, V51000000001182, V51000000001267, V51000000001297, V51000000001300, V51000000001303, V51000000001311, V51000000001314, V51000000001316, V51000000001318, V51000000001319, V51000000001320, V51000000001321, V51000000002014, V51000000002080, V51000000002084, V51000000002169, V51000000002171, V51000000002175, V51000000002181, V51000000002185, V51000000002218, V51000000002219, V51000000002252, V51000000002253, V51000000002260, V51000000002276, V51000000002322, V51000000002323, V51000000003001, V51000000003037, V51000000003047, V51000000003058, V51000000003077, V51000000003078, V51000000004011, V51000000004013, V51000000004014, V51000000004015, V51000000004016, V51000000004017, V51000000004063, V51000000004079, V51000000004127, V51000000005006, V51000000007004",181
V_93D84C5C,MyInsights & Dashboards,"Provides custom HTML and Veeva MyInsights dashboards for territory, account, and sales performance tracking.",Dashboard,"V51000000001340, V51000000001341, V51000000001342, V51000000001343, V51000000001344, V51000000001345, V51000000001346, V51000000001347, V51000000001348, V51000000001349, V51000000001350, V51000000001351, V51000000001352, V51000000002220, V51000000002221, V51000000002222, V51000000002223, V51000000002224, V51000000002225, V51000000002324, V51000000002325, V51000000002326, V51000000002327, V51000000002328, V51000000002329, V51000000002330, V51000000002331, V51000000002332, V51000000002333, V51000000003079, V51000000003080, V51000000003081, V51000000003082, V51000000003083, V51000000003084, V51000000003085, V51000000003086, V51000000003087, V51000000003091, V51000000003092, V51000000003093, V51000000003094, V51000000003095, V51000000003096, V51000000003097, V51000000003098, V51000000004099, V51000000004100, V51000000004101, V51000000004102, V51000000004103, V51000000004104, V51000000004105, V51000000004106, V51000000004107, V51000000004108, V51000000004109, V51000000004110, V51000000004111, V51000000004112, V51000000004113, V51000000004114, V51000000004115, V51000000004116, V51000000004117, V51000000004118, V51000000008043, V51000000008044, V51000000008045, V51000000008046, V51000000008047, V51000000008048, V51000000008049, V51000000008050, V51000000008051, V51000000004020",10
V_F6EDB923,Territory & Brick Management,Automates the assignment and alignment of territories based on brick updates. Manages the activation and deactivation of territory rules to ensure accurate sales alignments and reporting.,"Brick_to_Terr_vod__c, Territory2","V51000000001018, V51000000002156, V51000000001296, V51000000002080, V51000000002185",108
V_A52CCF17,User & Access Management,"Manages user provisioning, cloning, and access controls. Automates permission set assignments, synchronizes user status with external directories (e.g., Azure AD), and handles password reminders and login alerts to maintain system security and compliance.","User, PermissionSet","V51000000001011, V51000000001136, V51000000002281, V51000000001012, V51000000001278, V51000000002149, V51000000003031, V51000000001085, V51000000002078, V51000000002184, V51000000002112, V51000000005001, V51000000003001, V51000000003047, V51000000001318",298
V_3B71C2FB,Multichannel Cycle Plan (MCCP) Management,"Facilitates the creation, calculation, and approval of Multichannel Cycle Plans. Automates target list approvals and schedules batch processes to calculate call metrics, ensuring sales representatives meet their engagement goals.","MC_Cycle_Plan_vod__c, MC_Cycle_Plan_Target_vod__c","V51000000001005, V51000000001127, V51000000002015, V51000000002110, V51000000004011",47
V_2EA3489C,Task & Event Management,"Standardizes the visualization and management of tasks, events, and follow-up activities. Automates email notifications for follow-ups and synchronizes attendee reconciliation statuses to improve activity tracking and productivity.","Task, Event, Call2_vod__c, EM_Attendee_vod__c","V51000000001017, V51000000001056, V51000000001062, V51000000003037, V51000000007020, V51000000001040, V51000000001041, V51000000002178, V51000000002179, V51000000004066, V51000000001277, V51000000002036",162
V_CBE3CEB2,Community & Site Management,"Provides standard portal functionalities for external users, including login, registration, password management, and profile updates. Manages site templates, error pages (e.g., 404, unauthorized access), and community engagement features like Ideas and Answers.","Site, User","V51000000007019, V51000000001033, V51000000001034, V51000000001035, V51000000001036, V51000000001037, V51000000002130, V51000000002261, V51000000001038, V51000000001320, V51000000002176, V51000000001039, V51000000001321, V51000000002177, V51000000001120, V51000000002022, V51000000002262, V51000000001121, V51000000002023, V51000000002263, V51000000001122, V51000000002024, V51000000002264, V51000000001123, V51000000002025, V51000000002265, V51000000001124, V51000000002026, V51000000002266, V51000000001125, V51000000002027, V51000000002267, V51000000001126, V51000000002028, V51000000002268, V51000000002102, V51000000002107, V51000000002108, V51000000002109",62
V_EE60FCE6,Account & Account Plan Management,"Enhances account management by automating account plan owner synchronization, enforcing naming conventions, and updating account team members. Integrates MyInsights dashboards directly into account plans for better strategic planning and visibility.","Account, Account_Plan_vod__c","V51000000001110, V51000000002218, V51000000002322, V51000000008040, V51000000004033, V51000000004067, V51000000004128, V51000000002170, V51000000004063, V51000000005006, V51000000004127, V51000000001319",45
V_AA151D94,Product Metrics & Segmentation,Automates the synchronization of product metrics and segmentation data. Maps granular local segments to broader regional categories to ensure accurate targeting and reporting for marketing and sales initiatives.,Product_Metrics_vod__c,"V51000000001107, V51000000002042, V51000000005011",72
V_4FC6E19B,Approved Documents & Email Content,"Manages the generation, attachment, and visualization of approved documents and sent emails. Ensures compliance by handling PDF attachments and rendering HTML email content securely within the CRM.","Approved_Document_vod__c, Sent_Email_vod__c, Attachment","V51000000001300, V51000000001311, V51000000002252, V51000000002253, V51000000002169, V51000000001157, V51000000001316, V51000000001182",6
V_8D478528,Data Change Requests (DCR) & Validation,"Streamlines the data validation process by integrating with external data sources (e.g., IQVIA OneKey). Automates email alerts for Data Change Requests based on approval or rejection statuses to maintain data integrity.",Data_Change_Request_vod__c,"V51000000001303, V51000000002014, V51000000002043, V51000000008042",0
V_CFEBFA56,Events & Remote Meetings,"Manages the lifecycle of national events and remote meetings. Handles approval and rejection overrides, tracks speaker qualifications and budget estimates, and automates attendee reconciliation to ensure successful event execution.","EM_Event_vod__c, Remote_Meeting_vod__c","V51000000002084, V51000000004015, V51000000004016, V51000000004061, V51000000004062, V51000000004060, V51000000007004, V51000000003058",26
V_B3B12531,MyInsights Dashboards & Reports,"Provides a comprehensive suite of custom MyInsights dashboards and reports. Delivers actionable insights on territory performance, account planning, call planning, and sales trends to empower field teams and management with data-driven decision-making capabilities.",HTML_Report_vod__c,"V51000000001340, V51000000001341, V51000000001342, V51000000001343, V51000000001344, V51000000001345, V51000000001346, V51000000001347, V51000000001348, V51000000001349, V51000000001350, V51000000001351, V51000000001352, V51000000002220, V51000000002221, V51000000002222, V51000000002223, V51000000002224, V51000000002225, V51000000002324, V51000000002325, V51000000002326, V51000000002327, V51000000002328, V51000000002329, V51000000002330, V51000000002331, V51000000002332, V51000000002333, V51000000003079, V51000000003080, V51000000003081, V51000000003082, V51000000003083, V51000000003084, V51000000003085, V51000000003086, V51000000003087, V51000000003091, V51000000003092, V51000000003093, V51000000003094, V51000000003095, V51000000003096, V51000000003097, V51000000003098, V51000000004099, V51000000004100, V51000000004101, V51000000004102, V51000000004103, V51000000004104, V51000000004105, V51000000004106, V51000000004107, V51000000004108, V51000000004109, V51000000004110, V51000000004111, V51000000004112, V51000000004113, V51000000004114, V51000000004115, V51000000004116, V51000000004117, V51000000004118, V51000000008043, V51000000008044, V51000000008045, V51000000008046, V51000000008047, V51000000008048, V51000000008049, V51000000008050, V51000000008051, V51000000001086",0
V_FE79D955,System Utilities & Upgrades,"Supports system maintenance, upgrades, and administrative utilities. Includes tools for Lightning Ready upgrades, sandbox data anonymization, batch processing, approval request management, and monitoring text violations to ensure system health and compliance.","ProcessInstance, Monitored_Text_vod__c","V51000000002260, V51000000004013, V51000000002171, V51000000002175, V51000000001314, V51000000001267, V51000000004014, V51000000002323, V51000000004138, V51000000001297, V51000000002181, V51000000002219, V51000000002272, V51000000002276, V51000000003077, V51000000003078, V51000000004017, V51000000004079",105
V_F4345286,Call & Sample Management,"Manages the end-to-end execution of sales calls and sample distribution. This function ensures that call details are accurately captured, sample limits are enforced, and call calculations are scheduled to maintain compliance and track field activity.",Call2_Detail_vod__c,"V51000000001288, V51000000001277, V51000000002110, V51000000002272",79
V_E00BB890,User & Access Management,"Handles user provisioning, access control, and authentication processes. It includes synchronizing user statuses with external directories (like Azure AD), managing permission set assignments, cloning users, and sending automated password reminders or inactivity alerts.",User,"V51000000001011, V51000000001012, V51000000001136, V51000000001278, V51000000002149, V51000000003031, V51000000002281, V51000000001085, V51000000002078, V51000000002112, V51000000002184, V51000000005001, V51000000003001, V51000000003047, V51000000001318",298
V_8601DDB1,Multichannel Cycle Plan (MCCP) Management,"Facilitates the planning, approval, and execution of multichannel cycle plans. This function supports fast-tracking goal approvals, managing target lists, and scheduling batch processes to calculate cycle plan metrics for field representatives.",MC_Cycle_Plan_vod__c,"V51000000001005, V51000000001127, V51000000002015, V51000000004011",25
V_710AD438,Task & Event Management,"Standardizes the creation, visualization, and follow-up of tasks and calendar events. It provides custom interfaces for viewing activity details, automates follow-up notifications, and integrates task processes into broader system workflows.","Task, Event","V51000000001017, V51000000001040, V51000000001041, V51000000001056, V51000000001062, V51000000002178, V51000000002179, V51000000003037, V51000000004066, V51000000007020",156
V_124F5F8F,Salesforce Community & Site Management,"Provides the foundational infrastructure for external-facing portals and communities. This function manages standard pages for login, registration, password recovery, user profiles, idea sharing, and handles site exceptions like unauthorized access or maintenance modes.","Site, Network","V51000000001033, V51000000001034, V51000000001035, V51000000001036, V51000000001037, V51000000001038, V51000000001039, V51000000001120, V51000000001121, V51000000001122, V51000000001123, V51000000001124, V51000000001125, V51000000001126, V51000000001320, V51000000001321, V51000000002022, V51000000002023, V51000000002024, V51000000002025, V51000000002026, V51000000002027, V51000000002028, V51000000002102, V51000000002107, V51000000002108, V51000000002109, V51000000002130, V51000000002176, V51000000002177, V51000000002261, V51000000002262, V51000000002263, V51000000002264, V51000000002265, V51000000002266, V51000000002267, V51000000002268, V51000000007019",62
V_F8D2DD6A,Product Metrics & Segment Alignment,Automates the mapping and synchronization of product metrics and market segments. It ensures that granular local segments are accurately rolled up into broader regional categories and updates segmentation flags to support targeted marketing and sales strategies.,Product_Metrics_vod__c,"V51000000001107, V51000000002042, V51000000005011",72
V_F41E2EE0,Account & Territory Management,"Maintains the integrity of account data and territory alignments. This function enforces naming conventions, synchronizes account plan ownership, manages territory rules, and handles data cleanup batches to ensure accurate customer targeting.","Account, Account_Plan_vod__c, Territory2","V51000000001316, V51000000001319, V51000000002080, V51000000002170, V51000000002185, V51000000004033, V51000000004063, V51000000004067, V51000000004127, V51000000004128, V51000000005006, V51000000008040",46
V_E549BA8D,Event & Speaker Management,"Oversees the lifecycle of medical and promotional events, including remote meetings. It manages attendee reconciliation, speaker qualifications, budget estimates, and custom approval processes for event execution.","EM_Event_vod__c, EM_Attendee_vod__c, Remote_Meeting_vod__c","V51000000002036, V51000000002084, V51000000003058, V51000000004015, V51000000004016, V51000000004060, V51000000004061, V51000000004062, V51000000007004",29
V_90339CEF,Document & Content Management,"Manages the generation, approval, and distribution of documents and email content. This function handles attaching PDFs to approved documents, rendering HTML content for sent emails, and monitoring text for compliance violations.","Approved_Document_vod__c, Attachment","V51000000001157, V51000000001182, V51000000001300, V51000000001311, V51000000001314, V51000000002169, V51000000002252, V51000000002253, V51000000004138",6
V_2DF12F54,Data Change Request (DCR) & Validation,Processes requests to update or validate customer master data. It integrates with external validation services (like IQVIA OneKey) and triggers automated email alerts based on the approval or rejection of data change requests.,Data_Change_Request_vod__c,"V51000000001303, V51000000002014, V51000000002043, V51000000008042",0
V_BC4E3429,MyInsights & Reporting Dashboards,"Delivers actionable intelligence to field teams through embedded MyInsights dashboards and custom reports. It covers a wide range of analytics including territory performance, account plans, sales trends, and call planning across various regions and therapeutic areas.",HTML_Report_vod__c,"V51000000001110, V51000000001340, V51000000001341, V51000000001342, V51000000001343, V51000000001344, V51000000001345, V51000000001346, V51000000001347, V51000000001348, V51000000001349, V51000000001350, V51000000001351, V51000000001352, V51000000002218, V51000000002220, V51000000002221, V51000000002222, V51000000002223, V51000000002224, V51000000002225, V51000000002322, V51000000002324, V51000000002325, V51000000002326, V51000000002327, V51000000002328, V51000000002329, V51000000002330, V51000000002331, V51000000002332, V51000000002333, V51000000003079, V51000000003080, V51000000003081, V51000000003082, V51000000003083, V51000000003084, V51000000003085, V51000000003086, V51000000003087, V51000000003091, V51000000003092, V51000000003093, V51000000003094, V51000000003095, V51000000003096, V51000000003097, V51000000003098, V51000000004099, V51000000004100, V51000000004101, V51000000004102, V51000000004103, V51000000004104, V51000000004105, V51000000004106, V51000000004107, V51000000004108, V51000000004109, V51000000004110, V51000000004111, V51000000004112, V51000000004113, V51000000004114, V51000000004115, V51000000004116, V51000000004117, V51000000004118, V51000000008043, V51000000008044, V51000000008045, V51000000008046, V51000000008047, V51000000008048, V51000000008049, V51000000008050, V51000000008051, V51000000001086",0
V_C68D29AF,System Administration & Utilities,"Provides backend utilities and administrative tools to maintain system health and compliance. This includes managing Lightning upgrades, anonymizing sandbox data, scheduling birthday jobs, and handling custom approval request interfaces.","Setup, Configuration","V51000000001267, V51000000001297, V51000000002171, V51000000002175, V51000000002181, V51000000002219, V51000000002260, V51000000002276, V51000000002323, V51000000004013, V51000000004014, V51000000004017, V51000000004079, V51000000003077, V51000000003078",104
V_48762D0F,Expense Management,"Manages the end-to-end expense tracking process, including capturing event expenses, call-related expenses, and generating expense line items for accurate financial reporting and compliance.","Event_Expenses__c, Call2_Expense_vod__c, Expenses__c, Expenses_Line_Item__c","V51000000001144, V51000000002227",52
V_B71B7C0D,Multichannel Cycle Plan & Call Planning,"Facilitates the creation, approval, and tracking of Multichannel Cycle Plans (MCCP) and call planning activities. It provides insights into cycle plan performance, target approvals, and scheduling calculations to optimize field force engagement.","MC_Cycle_Plan_vod__c, MC_Cycle_Plan_Target_vod__c, Call2_vod__c","V51000000001005, V51000000001127, V51000000001350, V51000000002015, V51000000002110, V51000000002224, V51000000002225, V51000000002333, V51000000003080, V51000000003081, V51000000003082, V51000000003084, V51000000004011, V51000000004117, V51000000005011, V51000000008050, V51000000008051",50
V_967FE147,User Management & Provisioning,"Automates user lifecycle management, including user cloning, status synchronization with Active Directory, permission set assignments, and monitoring user login activities to ensure secure and compliant access.","User, PermissionSetAssignment","V51000000001011, V51000000001012, V51000000001085, V51000000001136, V51000000001278, V51000000002078, V51000000002112, V51000000002149, V51000000002184, V51000000002281, V51000000003031, V51000000005001",290
V_080F6D80,Task & Event Management,"Standardizes the visualization and management of tasks, calendar events, and follow-up activities. It automates task creation and email notifications to ensure timely execution of field activities.","Task, Event, Call2_vod__c","V51000000001017, V51000000001040, V51000000001041, V51000000001056, V51000000001062, V51000000001277, V51000000002178, V51000000002179, V51000000003037, V51000000004066, V51000000007020",159
V_BE68463D,Community & Site Management,"Provides standard portal functionalities for external users, including secure login, registration, password management, profile updates, and custom error pages (e.g., maintenance, unauthorized access) to ensure a seamless digital experience.","User, Network, Site","V51000000001033, V51000000001034, V51000000001035, V51000000001036, V51000000001037, V51000000001038, V51000000001039, V51000000001120, V51000000001121, V51000000001122, V51000000001123, V51000000001124, V51000000001125, V51000000001126, V51000000001318, V51000000001320, V51000000001321, V51000000002022, V51000000002023, V51000000002024, V51000000002025, V51000000002026, V51000000002027, V51000000002028, V51000000002102, V51000000002107, V51000000002108, V51000000002109, V51000000002130, V51000000002176, V51000000002177, V51000000002261, V51000000002262, V51000000002263, V51000000002264, V51000000002265, V51000000002266, V51000000002267, V51000000002268, V51000000003001, V51000000003047, V51000000007019",70
V_E281F0FA,Account & Territory Management,"Manages account data integrity, territory alignments, and team member assignments. It includes automated processes for account name consistency, territory rule inactivation, and synchronizing ownership changes across related records.","Account, Territory2, AccountTeamMember","V51000000001107, V51000000001344, V51000000001345, V51000000001346, V51000000002042, V51000000002080, V51000000002170, V51000000002175, V51000000002185, V51000000002324, V51000000002325, V51000000002328, V51000000002330, V51000000003077, V51000000003078, V51000000003079, V51000000003092, V51000000003093, V51000000003095, V51000000003096, V51000000003097, V51000000004033, V51000000004063, V51000000004067, V51000000004113, V51000000004114, V51000000004127, V51000000004128, V51000000005006, V51000000008040",123
V_F7DF95A5,Account Planning & Insights,"Delivers embedded MyInsights dashboards and custom reports to visualize account plans, track key performance indicators, and provide actionable insights directly within the Account Plan records.","Account_Plan_vod__c, Account","V51000000001110, V51000000001297, V51000000001319, V51000000001342, V51000000002218, V51000000002223, V51000000002276, V51000000002322, V51000000002327, V51000000004099, V51000000008043, V51000000008044",0
V_A984255A,Events & Medical Meetings Management,"Supports the end-to-end lifecycle of medical events and remote meetings, including event creation, budget estimation, speaker qualifications, attendee reconciliation, and approval workflows.","EM_Event_vod__c, EM_Attendee_vod__c, Remote_Meeting_vod__c","V51000000002036, V51000000002084, V51000000003058, V51000000004015, V51000000004016, V51000000004060, V51000000004061, V51000000004062, V51000000007004, V51000000008045, V51000000008046, V51000000008047",29
V_5CC31A0B,Document Management & Attachments,"Handles the generation, attachment, and viewing of approved documents and PDFs. It also monitors text for compliance violations and manages attachment descriptions.","Approved_Document_vod__c, Attachment, Monitored_Text_vod__c","V51000000001157, V51000000001182, V51000000001300, V51000000001311, V51000000001316, V51000000002252, V51000000004138",7
V_ACD1AB65,Email & Communication Management,"Facilitates the viewing and sharing of sent email content and reports, ensuring seamless communication tracking and visibility within the CRM.",Sent_Email_vod__c,"V51000000001086, V51000000002169, V51000000002253",0
V_E8AE189A,Data Validation & Integration,"Integrates with external data sources (e.g., IQVIA OneKey) to validate account information and manages Data Change Requests (DCRs) with automated email alerts upon resolution.","Data_Change_Request_vod__c, Account","V51000000001303, V51000000002014, V51000000002043, V51000000003098, V51000000008042",0
V_DBC95A1A,System Administration & Upgrades,"Provides administrative utilities for system maintenance, including batch processing, trigger creation, approval request management, and facilitating Veeva CRM Lightning Ready upgrades.","ProcessInstanceWorkitem, AsyncApexJob","V51000000001267, V51000000001314, V51000000002171, V51000000002181, V51000000002219, V51000000002220, V51000000002260, V51000000002323, V51000000004013, V51000000004014",95
V_D4D126EC,Product & Sample Management,"Manages product master data, sample lots, and state license validations to ensure compliant sampling and accurate product detailing.","Product_vod__c, Sample_Lot_vod__c, State_License_vod__c","V51000000002272, V51000000003085, V51000000003087, V51000000004017, V51000000004079",0
V_1B9A1DFD,Analytics & Dashboards,"Delivers comprehensive MyInsights dashboards and reports across various business domains, including sales trends, physician activity, center overviews, and performance tracking to drive data-informed decisions.","HTML_Report_vod__c, MyInsights_Dashboard_vod__c","V51000000001340, V51000000001341, V51000000001343, V51000000001347, V51000000001348, V51000000001349, V51000000001351, V51000000001352, V51000000002221, V51000000002222, V51000000002326, V51000000002329, V51000000002331, V51000000002332, V51000000003083, V51000000003086, V51000000003091, V51000000003094, V51000000004100, V51000000004101, V51000000004102, V51000000004103, V51000000004104, V51000000004105, V51000000004106, V51000000004107, V51000000004108, V51000000004109, V51000000004110, V51000000004111, V51000000004112, V51000000004115, V51000000004116, V51000000004118, V51000000008048, V51000000008049",0
V_7E50AE0B,User & Territory Management,"Automates user provisioning, territory alignment, and permission set assignments to ensure sales representatives and medical science liaisons have the correct access and territory assignments.","User, User_Territory_Alignment__c, PermissionSetAssignment","V51000000003072, V51000000004059, V51000000001011, V51000000001012, V51000000001085, V51000000001136, V51000000001278, V51000000002078, V51000000002080, V51000000002112, V51000000002149, V51000000002184, V51000000002185, V51000000002281, V51000000003031, V51000000005001",331
V_7875586D,Authentication & Community Portal Management,"Provides standard and custom portal functionalities for external and internal users, including login, password management, site registration, and standard error or maintenance pages for Salesforce Communities.","User, Network, Site","V51000000001033, V51000000001034, V51000000001035, V51000000001036, V51000000001037, V51000000001038, V51000000001039, V51000000001120, V51000000001121, V51000000001122, V51000000001123, V51000000001124, V51000000001125, V51000000001126, V51000000001318, V51000000001320, V51000000001321, V51000000002022, V51000000002023, V51000000002024, V51000000002025, V51000000002026, V51000000002027, V51000000002028, V51000000002102, V51000000002107, V51000000002108, V51000000002109, V51000000002130, V51000000002176, V51000000002177, V51000000002261, V51000000002262, V51000000002263, V51000000002264, V51000000002265, V51000000002266, V51000000002267, V51000000002268, V51000000003001, V51000000003047, V51000000007019",70
V_E751E0F8,"Task, Event & Activity Management","Standardizes the creation, visualization, and follow-up of tasks, events, and remote meetings, ensuring accurate tracking of interactions and automated reconciliation of meeting attendees.","Task, Event, Remote_Meeting_vod__c","V51000000001017, V51000000001040, V51000000001041, V51000000001056, V51000000001062, V51000000001277, V51000000002036, V51000000002084, V51000000002110, V51000000002178, V51000000002179, V51000000003037, V51000000003058, V51000000004015, V51000000004016, V51000000004061, V51000000004066, V51000000007004, V51000000007020",210
V_23D3AD21,Account & Data Management,"Maintains data integrity and automates updates for Account records, including data change requests, account team member synchronization, and birthday reminders, ensuring accurate customer profiles.","Account, Account_Plan_vod__c, Data_Change_Request_vod__c","V51000000001267, V51000000001303, V51000000001314, V51000000001319, V51000000002014, V51000000002043, V51000000002170, V51000000002175, V51000000004033, V51000000004063, V51000000004067, V51000000004127, V51000000004128, V51000000005006, V51000000008040, V51000000008042",56
V_EDAC0E56,Multichannel Cycle Plan (MCCP) & Product Metrics,"Manages cycle plan targets, goals, and product metrics segmentation, automating the synchronization of local and regional segments to support targeted sales and marketing strategies.","MC_Cycle_Plan_vod__c, Product_Metrics_vod__c","V51000000001005, V51000000001107, V51000000001127, V51000000002015, V51000000002042, V51000000004011, V51000000005011",97
V_1ED2EF66,"Document, Attachment & Email Management","Handles the generation, attachment, and visualization of approved documents and sent emails, while monitoring text for compliance violations to ensure secure and compliant communications.","Approved_Document_vod__c, Monitored_Text_vod__c, Attachment","V51000000001157, V51000000001182, V51000000001300, V51000000001311, V51000000001316, V51000000002169, V51000000002252, V51000000002253, V51000000004138",7
V_AE9B4E6C,MyInsights & Analytics Dashboards,"Delivers comprehensive analytics and interactive dashboards for territory performance, account planning, call planning, and product intention to prescribe, empowering field teams with actionable insights.",HTML_Report_vod__c,"V51000000001086, V51000000001110, V51000000001340, V51000000001341, V51000000001342, V51000000001343, V51000000001344, V51000000001345, V51000000001346, V51000000001347, V51000000001348, V51000000001349, V51000000001350, V51000000001351, V51000000001352, V51000000002218, V51000000002221, V51000000002222, V51000000002223, V51000000002224, V51000000002225, V51000000002322, V51000000002324, V51000000002325, V51000000002326, V51000000002327, V51000000002328, V51000000002329, V51000000002330, V51000000002331, V51000000002332, V51000000002333, V51000000003077, V51000000003078, V51000000003079, V51000000003080, V51000000003081, V51000000003082, V51000000003083, V51000000003084, V51000000003085, V51000000003086, V51000000003087, V51000000003091, V51000000003092, V51000000003093, V51000000003094, V51000000003095, V51000000003096, V51000000003097, V51000000003098, V51000000004099, V51000000004100, V51000000004101, V51000000004102, V51000000004103, V51000000004104, V51000000004105, V51000000004106, V51000000004107, V51000000004108, V51000000004109, V51000000004110, V51000000004111, V51000000004112, V51000000004113, V51000000004114, V51000000004115, V51000000004116, V51000000004117, V51000000004118, V51000000008043, V51000000008044, V51000000008045, V51000000008046, V51000000008047, V51000000008048, V51000000008049, V51000000008050, V51000000008051",0
V_F516D2E9,System Administration & Upgrade Utilities,"Provides administrative tools and utilities for managing system upgrades, approval processes, trigger controls, and custom configuration components to maintain and enhance the CRM platform.","Setup, ProcessInstanceWorkitem","V51000000001297, V51000000002171, V51000000002181, V51000000002219, V51000000002220, V51000000002260, V51000000002272, V51000000002276, V51000000002323, V51000000004013, V51000000004014, V51000000004017, V51000000004060, V51000000004062, V51000000004079",93
V_359D6D8B,Account Management & Profiling,"Manages core Account master data attributes, record types, status transitions, name formatting, and parent-child account relations.","Account, mck_Account_Relation__c, Child_Account_vod__c","V51000000008005, V51000000008004, V51000000007003, V51000000006010, V51000000006006, V51000000002097, V51000000002096, V51000000002095, V51000000002094, V51000000002090, V51000000002089, V51000000002088, V51000000002068, V51000000002065, V51000000002062, V51000000002061, V51000000002011, V51000000002004, V51000000001105, V51000000001096, V51000000001064, V51000000001021, V51000000001009, V51000000001006, V51000000002030",448
V_6EBD8FDC,Address Management,"Standardizes address data, sets localized best times, manages primary address indicators, and regulates address copying to child records.","Address_vod__c, Account, Child_Account_vod__c","V51000000008006, V51000000002100, V51000000002075, V51000000002067, V51000000002031, V51000000002029, V51000000002009, V51000000001080, V51000000001024, V51000000007002, V51000000002001, V51000000001083, V51000000001010, V51000000001003, V51000000001002",974
